1667098453.250644, 	 reno wscale:8,9 rto:336 rtt:133.464/14.303 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:243 bytes_sent:689248 bytes_acked:337385 segs_out:478 segs_in:91 data_segs_out:476 send 21.1Mbps lastrcv:308 pacing_rate 42.2Mbps delivery_rate 9.6Mbps delivered:234 busy:308ms unacked:243 rcv_space:14480 rcv_ssthresh:42242 notsent:990432 minrtt:20.388
1667098453.263887, 	 reno wscale:8,9 rto:344 rtt:140.653/14.287 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:255 bytes_sent:724000 bytes_acked:354761 segs_out:502 segs_in:95 data_segs_out:500 send 21.0Mbps lastrcv:320 pacing_rate 42.0Mbps delivery_rate 9.6Mbps delivered:246 busy:320ms unacked:255 rcv_space:14480 rcv_ssthresh:42242 notsent:1737600 minrtt:20.388
1667098453.277397, 	 reno wscale:8,9 rto:348 rtt:146.282/14.692 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:264 bytes_sent:750064 bytes_acked:367793 segs_out:520 segs_in:98 data_segs_out:518 send 20.9Mbps lastsnd:4 lastrcv:336 lastack:4 pacing_rate 41.8Mbps delivery_rate 9.6Mbps delivered:255 busy:336ms unacked:264 rcv_space:14480 rcv_ssthresh:42242 notsent:1711536 minrtt:20.388
1667098453.290653, 	 reno wscale:8,9 rto:356 rtt:153.494/14.591 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:276 bytes_sent:784816 bytes_acked:385169 segs_out:544 segs_in:102 data_segs_out:542 send 20.8Mbps lastrcv:348 pacing_rate 41.7Mbps delivery_rate 9.6Mbps delivered:267 busy:348ms unacked:276 rcv_space:14480 rcv_ssthresh:42242 notsent:1676784 minrtt:20.388
1667098453.304420, 	 reno wscale:8,9 rto:364 rtt:160.845/14.742 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:288 bytes_sent:819568 bytes_acked:402545 segs_out:568 segs_in:106 data_segs_out:566 send 20.7Mbps lastsnd:4 lastrcv:364 lastack:4 pacing_rate 41.5Mbps delivery_rate 9.6Mbps delivered:279 busy:364ms unacked:288 rcv_space:14480 rcv_ssthresh:42242 notsent:1642032 minrtt:20.388
1667098453.318016, 	 reno wscale:8,9 rto:368 rtt:166.211/14.476 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:297 bytes_sent:845632 bytes_acked:415577 segs_out:586 segs_in:109 data_segs_out:584 send 20.7Mbps lastsnd:4 lastrcv:376 lastack:4 pacing_rate 41.4Mbps delivery_rate 9.6Mbps delivered:288 busy:376ms unacked:297 rcv_space:14480 rcv_ssthresh:42242 notsent:1615968 minrtt:20.388
1667098453.331199, 	 reno wscale:8,9 rto:376 rtt:173.404/14.304 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:309 bytes_sent:880384 bytes_acked:432953 segs_out:610 segs_in:113 data_segs_out:608 send 20.6Mbps lastrcv:388 pacing_rate 41.3Mbps delivery_rate 9.6Mbps delivered:300 busy:388ms unacked:309 rcv_space:14480 rcv_ssthresh:42242 notsent:1581216 minrtt:20.388
1667098453.344413, 	 reno wscale:8,9 rto:384 rtt:180.585/14.275 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:321 bytes_sent:915136 bytes_acked:450329 segs_out:634 segs_in:117 data_segs_out:632 send 20.6Mbps lastsnd:4 lastrcv:404 lastack:4 pacing_rate 41.2Mbps delivery_rate 9.6Mbps delivered:312 busy:404ms unacked:321 rcv_space:14480 rcv_ssthresh:42242 notsent:1546464 minrtt:20.388
1667098453.357710, 	 reno wscale:8,9 rto:388 rtt:185.741/13.765 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:323 ssthresh:163 bytes_sent:935408 bytes_retrans:2896 bytes_acked:459017 segs_out:648 segs_in:120 data_segs_out:646 send 20.1Mbps lastsnd:4 lastrcv:416 lastack:4 pacing_rate 24.5Mbps delivery_rate 9.6Mbps delivered:321 busy:416ms unacked:327 retrans:2/2 lost:3 sacked:3 rcv_space:14480 rcv_ssthresh:42242 notsent:1529088 minrtt:20.388
1667098453.370850, 	 reno wscale:8,9 rto:392 rtt:190.051/9.998 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:305 ssthresh:163 bytes_sent:944096 bytes_retrans:11584 bytes_acked:459017 segs_out:654 segs_in:124 data_segs_out:652 send 18.6Mbps lastrcv:428 pacing_rate 23.9Mbps delivery_rate 9.6Mbps delivered:333 busy:428ms unacked:327 retrans:8/8 lost:15 sacked:15 rcv_space:14480 rcv_ssthresh:42242 notsent:1529088 minrtt:20.388
